
###############################

###############################
ADULT_COMPLEX, FULL, INSPECTION_TRAIN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 4402.074821002316, ['/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_train.csv'; '/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/test/monkeypatchingSQL/pipelines_for_tests/adult_complex/adult_test.csv']
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.8042068481445312, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 61.422489990945905, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.7260055541992188, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 54.071359016234055, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.8721561431884766, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 21.72874400002911, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.949403762817383, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 20.276010999623395, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 6.329059600830078, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 37.361671999860846, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 26.842832565307617, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 257.01824499992654, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 568.671464920044, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 18.992158999935782, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.256559371948242, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 20.01996600029088, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 2.630949020385742, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 38.97063899967179, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 20.343780517578125, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 245.14494100003503, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 562.981128692627, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 13.718743000026734, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.5343170166015625, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 19.59902199996577, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 5.300998687744141, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 36.14325799935614, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 21.02947235107422, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 238.4518870003376, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 572.5240707397461, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 21.087582999825827, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 2.133607864379883, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 21.288171999913175, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 3.7720203399658203, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 51.97321000014199, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 29.994726181030273, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 230.71462099960627, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 577.1515369415283, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 18.923222000012174, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.4787654876708984, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 23.191807999864977, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 4.347801208496094, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 34.76043800037587, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 20.342588424682617, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Pandas/Original, 245.87401099961426, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, PostgreSQL, 577.629566192627, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100000.csv')]

###############################

###############################

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Pandas/Original, 20.986795999306196, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, PostgreSQL, 3.2806396484375, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 100, CTE, NON-MATERIALIZED, Umbra, 4.259824752807617, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_100.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_100.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Pandas/Original, 20.719576999908895, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, PostgreSQL, 2.6085376739501953, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 1000, CTE, NON-MATERIALIZED, Umbra, 5.418062210083008, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_1000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_1000.csv')]
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, Pandas/Original, 37.78378900005919, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
HEALTHCARE, ONLY_PANDAS, PURE_RUN, 10000, CTE, NON-MATERIALIZED, PostgreSQL, 20.895004272460938, [PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_histories_generated_10000.csv'); PosixPath('/home/luca/Documents/BA_saved/For_Publication/max_repo/mlinspect4sql/example_to_sql/data_generation/generated_csv/healthcare_patients_generated_10000.csv')]

###############################
